0 data/Character_Ninja_Black_14.obj data/texture_samurai.tga -0.350,0.000,-1.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-0.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-1.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-1.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-1.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-1.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-2.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-2.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-2.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-2.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-3.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-3.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-3.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-3.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-4.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-4.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-4.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-4.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-5.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-5.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-5.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-5.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-6.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-6.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-6.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-6.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-7.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-7.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-7.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-7.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-8.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-8.450 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-8.700 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-8.950 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-9.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-6.150 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-6.400 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-6.650 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-6.900 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-7.150 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-7.400 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-7.650 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-7.900 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-8.150 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-8.400 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Env_Tree_01_12.obj data/texture_samurai.tga 3.400,0.000,1.250 0.000,0.000,0.000 0.150,0.150,0.150 0 0 
2 data/SM_Env_Tree_03_64.obj data/texture_samurai.tga 3.050,-0.050,0.700 0.000,0.000,0.000 0.150,0.150,0.150 0 0 
2 data/SM_Env_Tree_02_57.obj data/texture_samurai.tga 3.500,0.000,0.150 0.000,0.000,0.000 0.250,0.250,0.245 0 0 
2 data/SM_Env_Tree_04_74.obj data/texture_samurai.tga 2.650,-0.050,0.050 -120.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tree_01_12.obj data/texture_samurai.tga 1.800,-0.050,0.100 45.000,0.000,0.000 0.150,0.150,0.150 0 0 
2 data/SM_Env_Bamboo_Group_03_40.obj data/texture_samurai.tga 0.750,0.000,0.250 -15.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bamboo_Group_01_38.obj data/texture_samurai.tga 0.700,0.000,0.000 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_Bamboo_Group_02_76.obj data/texture_samurai.tga 0.700,0.000,-0.150 0.000,0.000,0.000 0.080,0.080,0.080 0 0 
2 data/SM_Env_Tree_03_64.obj data/texture_samurai.tga 1.900,-0.100,0.700 0.000,0.000,0.000 0.210,0.210,0.210 0 0 
2 data/SM_Env_Tree_02_57.obj data/texture_samurai.tga 2.650,0.000,1.150 0.000,0.000,0.000 0.140,0.140,0.140 0 0 
2 data/building-japan_20.obj data/texture_samurai.tga -2.950,0.000,-4.150 90.000,0.000,0.000 0.080,0.100,0.080 0 0 
2 data/SM_Bld_House_Door_01_66.obj data/texture_samurai.tga -2.470,0.050,-4.450 90.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga -1.600,0.000,-6.050 0.000,0.000,0.000 0.170,0.150,0.200 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga -2.850,0.000,-6.050 180.000,0.000,0.000 0.170,0.150,0.200 0 0 
2 data/SM_Bld_House_Roof_Thatch_01_18.obj data/texture_samurai.tga -1.600,0.350,-6.050 0.000,0.000,0.000 0.170,0.130,0.270 0 0 
2 data/SM_Bld_House_Roof_Thatch_01_18.obj data/texture_samurai.tga -2.850,0.350,-6.050 0.000,0.000,0.000 0.170,0.130,0.270 0 0 
2 data/building-japan_20.obj data/texture_samurai.tga 1.200,0.000,-7.350 0.000,0.000,0.000 0.070,0.100,0.070 0 0 
2 data/SM_Bld_House_Door_01_66.obj data/texture_samurai.tga 1.450,0.050,-6.920 0.000,0.000,0.000 0.150,0.150,0.100 0 0 
2 data/bridge-japan_4.obj data/texture_samurai.tga 0.000,-0.200,-10.000 -90.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_House_Base_Long_01_25.obj data/texture_samurai.tga -2.000,0.000,-7.700 -90.000,0.000,0.000 0.140,0.150,0.190 0 0 
2 data/SM_Bld_House_Roof_Wood_01_59.obj data/texture_samurai.tga -2.050,0.350,-7.700 90.000,0.000,0.000 0.150,0.150,0.270 0 0 
2 data/bridge-japan_4.obj data/texture_samurai.tga -2.850,-0.200,-10.000 90.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/bridge-japan_4.obj data/texture_samurai.tga 2.850,-0.200,-10.000 90.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-8.600 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-8.800 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-9.050 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-9.300 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-9.550 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-9.800 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-10.050 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-10.300 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-10.550 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-10.800 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 0.300,0.000,-9.100 0.000,0.000,0.000 0.300,0.300,0.300 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 0.550,0.000,-9.100 -45.000,0.000,0.000 0.300,0.300,0.300 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 0.850,0.000,-9.050 30.000,0.000,0.000 0.400,0.400,0.400 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 1.150,0.000,-9.100 -105.000,0.000,0.000 0.300,0.300,0.300 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 1.300,0.000,-9.100 0.000,0.000,0.000 0.250,0.250,0.250 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 1.550,0.000,-9.100 -30.000,0.000,0.000 0.420,0.420,0.420 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 1.850,0.000,-9.100 -30.000,0.000,0.000 0.270,0.270,0.270 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 2.100,0.000,-9.050 75.000,0.000,0.000 0.400,0.400,0.400 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 2.350,0.000,-9.100 -45.000,0.000,0.000 0.300,0.300,0.300 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 2.550,0.000,-9.100 0.000,0.000,0.000 0.200,0.200,0.200 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 3.150,0.000,-9.100 0.000,0.000,0.000 0.320,0.320,0.320 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 3.350,0.000,-9.100 -30.000,0.000,0.000 0.250,0.250,0.250 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 3.500,0.000,-9.100 90.000,0.000,0.000 0.200,0.200,0.200 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 3.600,0.000,-9.100 -60.000,0.000,0.000 0.140,0.140,0.140 0 0 
2 data/SM_Env_RicePlant_02_37.obj data/texture_samurai.tga 3.700,0.000,-9.100 0.000,0.000,0.000 0.110,0.110,0.110 0 0 
2 data/gate-japan_15.obj data/texture_samurai.tga 0.000,0.200,-19.500 0.000,0.000,0.000 0.050,0.100,0.050 0 0 
2 data/castle-japan_14.obj data/texture_samurai.tga 1.500,0.000,-12.400 0.000,0.000,0.000 0.080,0.100,0.080 0 0 
2 data/castle-japan_14.obj data/texture_samurai.tga -1.500,0.000,-12.400 0.000,0.000,0.000 0.080,0.100,0.080 0 0 
2 data/terrain-plane-water_13.obj data/texture_samurai.tga 0.000,-0.040,-2.250 0.000,0.000,0.000 0.270,0.050,0.050 0 0 
2 data/terrain-plane-water_13.obj data/texture_samurai.tga 0.000,-0.040,-10.000 0.000,0.000,0.000 0.270,0.050,0.066 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga 3.250,0.000,-13.150 0.000,0.000,0.000 0.160,0.150,0.130 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga 1.950,0.000,-14.650 90.000,0.000,0.000 0.160,0.150,0.130 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga 0.000,0.000,-14.350 90.000,0.000,0.000 0.160,0.150,0.130 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga -1.950,0.000,-14.500 -90.000,0.000,0.000 0.160,0.150,0.130 0 0 
2 data/SM_Bld_House_Base_Long_04_30.obj data/texture_samurai.tga -3.250,0.000,-13.150 0.000,0.000,0.000 0.160,0.150,0.130 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga 3.250,0.350,-13.150 0.000,0.000,0.000 0.165,0.100,0.133 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga 2.000,0.350,-14.600 90.000,0.000,0.000 0.160,0.100,0.130 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga -3.250,0.350,-13.150 0.000,0.000,0.000 0.160,0.100,0.130 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga 0.000,0.350,-14.300 -90.000,0.000,0.000 0.160,0.100,0.130 0 0 
2 data/SM_Bld_House_Roof_Long_Thatch_01_6.obj data/texture_samurai.tga -2.000,0.350,-14.500 -90.000,0.000,0.000 0.160,0.100,0.130 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,-16.000 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,-16.500 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,-17.000 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,-17.500 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,-18.500 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,-18.000 0.000,0.000,0.000 0.120,0.120,0.120 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-15.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-16.150 -60.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-16.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-16.650 -60.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-16.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-17.200 60.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-17.500 30.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-19.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-17.800 45.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-18.100 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-18.350 135.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-18.600 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,0.000,-18.880 135.000,0.000,0.000 0.128,0.100,0.100 0 0 
